time_s,t_us,pcnt_count,d_pcnt,dpos_m,position_m,dir_m1_0_p1
4.159834,25632380,0,0,0.00000000,0.00000000,0
4.169834,25642380,0,0,0.00000000,0.00000000,0
4.179834,25652380,0,0,0.00000000,0.00000000,0
4.189834,25662380,0,0,0.00000000,0.00000000,0
4.199834,25672380,0,0,0.00000000,0.00000000,0
4.209834,25682380,0,0,0.00000000,0.00000000,0
4.219834,25692380,0,0,0.00000000,0.00000000,0
4.229834,25702380,0,0,0.00000000,0.00000000,0
4.239834,25712380,0,0,0.00000000,0.00000000,0
4.249834,25722380,0,0,0.00000000,0.00000000,0
4.259834,25732380,0,0,0.00000000,0.00000000,0
4.269834,25742380,0,0,0.00000000,0.00000000,0
4.279834,25752380,0,0,0.00000000,0.00000000,0
4.289834,25762380,0,0,0.00000000,0.00000000,0
4.299834,25772380,0,0,0.00000000,0.00000000,0
4.309834,25782380,0,0,0.00000000,0.00000000,0
4.319834,25792380,0,0,0.00000000,0.00000000,0
4.329834,25802380,0,0,0.00000000,0.00000000,0
4.339834,25812380,0,0,0.00000000,0.00000000,0
4.349834,25822380,0,0,0.00000000,0.00000000,0
4.359834,25832380,0,0,0.00000000,0.00000000,0
4.369834,25842380,0,0,0.00000000,0.00000000,0
4.379834,25852380,0,0,0.00000000,0.00000000,0
4.389834,25862380,0,0,0.00000000,0.00000000,0
4.399834,25872380,0,0,0.00000000,0.00000000,0
4.409834,25882380,0,0,0.00000000,0.00000000,0
4.419834,25892380,0,0,0.00000000,0.00000000,0
4.429834,25902380,0,0,0.00000000,0.00000000,0
4.439834,25912380,0,0,0.00000000,0.00000000,0
4.449834,25922380,0,0,0.00000000,0.00000000,0
4.459834,25932380,0,0,0.00000000,0.00000000,0
4.469834,25942380,0,0,0.00000000,0.00000000,0
4.479834,25952380,0,0,0.00000000,0.00000000,0
4.489834,25962380,0,0,0.00000000,0.00000000,0
4.499834,25972380,0,0,0.00000000,0.00000000,0
4.509834,25982380,0,0,0.00000000,0.00000000,0
4.519834,25992380,0,0,0.00000000,0.00000000,0
4.529834,26002380,0,0,0.00000000,0.00000000,0
4.539834,26012380,0,0,0.00000000,0.00000000,0
4.549834,26022380,0,0,0.00000000,0.00000000,0
4.559834,26032380,0,0,0.00000000,0.00000000,0
4.569834,26042380,0,0,0.00000000,0.00000000,0
4.579834,26052380,0,0,0.00000000,0.00000000,0
4.589834,26062380,0,0,0.00000000,0.00000000,0
4.599834,26072380,0,0,0.00000000,0.00000000,0
4.609834,26082380,0,0,0.00000000,0.00000000,0
4.619834,26092380,0,0,0.00000000,0.00000000,0
4.629834,26102380,0,0,0.00000000,0.00000000,0
4.639834,26112380,0,0,0.00000000,0.00000000,0
4.649834,26122380,0,0,0.00000000,0.00000000,0
4.659834,26132380,0,0,0.00000000,0.00000000,0
4.669834,26142380,0,0,0.00000000,0.00000000,0
4.679834,26152380,0,0,0.00000000,0.00000000,0
4.689834,26162380,0,0,0.00000000,0.00000000,0
4.699834,26172380,0,0,0.00000000,0.00000000,0
4.709834,26182380,0,0,0.00000000,0.00000000,0
4.719834,26192380,0,0,0.00000000,0.00000000,0
4.729834,26202380,0,0,0.00000000,0.00000000,0
4.739834,26212380,0,0,0.00000000,0.00000000,0
4.749834,26222380,0,0,0.00000000,0.00000000,0
4.759834,26232380,0,0,0.00000000,0.00000000,0
4.769834,26242380,0,0,0.00000000,0.00000000,0
4.779834,26252380,0,0,0.00000000,0.00000000,0
4.789834,26262380,0,0,0.00000000,0.00000000,0
4.799834,26272380,0,0,0.00000000,0.00000000,0
4.809834,26282380,0,0,0.00000000,0.00000000,0
4.819834,26292380,0,0,0.00000000,0.00000000,0
4.829834,26302380,0,0,0.00000000,0.00000000,0
4.839834,26312380,0,0,0.00000000,0.00000000,0
4.849834,26322380,0,0,0.00000000,0.00000000,0
4.859834,26332380,0,0,0.00000000,0.00000000,0
4.869834,26342380,0,0,0.00000000,0.00000000,0
4.879834,26352380,0,0,0.00000000,0.00000000,0
4.889834,26362380,0,0,0.00000000,0.00000000,0
4.899834,26372380,0,0,0.00000000,0.00000000,0
4.909834,26382380,0,0,0.00000000,0.00000000,0
4.919834,26392380,0,0,0.00000000,0.00000000,0
4.929834,26402380,0,0,0.00000000,0.00000000,0
4.939834,26412380,0,0,0.00000000,0.00000000,0
4.949834,26422380,0,0,0.00000000,0.00000000,0
4.959834,26432380,0,0,0.00000000,0.00000000,0
4.969834,26442380,0,0,0.00000000,0.00000000,0
4.979834,26452380,0,0,0.00000000,0.00000000,0
4.989834,26462380,0,0,0.00000000,0.00000000,0
4.999834,26472380,0,0,0.00000000,0.00000000,0
5.009834,26482380,0,0,0.00000000,0.00000000,0
5.019834,26492380,0,0,0.00000000,0.00000000,0
5.029834,26502380,0,0,0.00000000,0.00000000,0
5.039834,26512380,0,0,0.00000000,0.00000000,0
5.049834,26522380,0,0,0.00000000,0.00000000,0
5.059834,26532380,0,0,0.00000000,0.00000000,0
5.069834,26542380,0,0,0.00000000,0.00000000,0
5.079834,26552380,0,0,0.00000000,0.00000000,0
5.089834,26562380,0,0,0.00000000,0.00000000,0
5.099834,26572380,0,0,0.00000000,0.00000000,0
5.109834,26582380,0,0,0.00000000,0.00000000,0
5.119834,26592380,0,0,0.00000000,0.00000000,0
5.129834,26602380,0,0,0.00000000,0.00000000,0
5.139834,26612380,0,0,0.00000000,0.00000000,0
5.149834,26622380,0,0,0.00000000,0.00000000,0
5.159834,26632380,0,0,0.00000000,0.00000000,0
5.169834,26642380,0,0,0.00000000,0.00000000,0
5.179834,26652380,0,0,0.00000000,0.00000000,0
5.189834,26662380,0,0,0.00000000,0.00000000,0
5.199834,26672380,0,0,0.00000000,0.00000000,0
5.209834,26682380,0,0,0.00000000,0.00000000,0
5.219834,26692380,0,0,0.00000000,0.00000000,0
5.229834,26702380,0,0,0.00000000,0.00000000,0
5.239834,26712380,0,0,0.00000000,0.00000000,0
5.249834,26722380,0,0,0.00000000,0.00000000,0
5.259834,26732380,0,0,0.00000000,0.00000000,0
5.269834,26742380,0,0,0.00000000,0.00000000,0
5.279834,26752380,0,0,0.00000000,0.00000000,0
5.289834,26762380,0,0,0.00000000,0.00000000,0
5.299834,26772380,0,0,0.00000000,0.00000000,0
5.309834,26782380,0,0,0.00000000,0.00000000,0
5.319834,26792380,0,0,0.00000000,0.00000000,0
5.329834,26802380,0,0,0.00000000,0.00000000,0
5.339834,26812380,0,0,0.00000000,0.00000000,0
5.349834,26822380,0,0,0.00000000,0.00000000,0
5.359834,26832380,0,0,0.00000000,0.00000000,0
5.369834,26842380,0,0,0.00000000,0.00000000,0
5.379834,26852380,0,0,0.00000000,0.00000000,0
5.389834,26862380,0,0,0.00000000,0.00000000,0
5.399834,26872380,0,0,0.00000000,0.00000000,0
5.409834,26882380,0,0,0.00000000,0.00000000,0
5.419834,26892380,0,0,0.00000000,0.00000000,0
5.429834,26902380,0,0,0.00000000,0.00000000,0
5.439834,26912380,0,0,0.00000000,0.00000000,0
5.449834,26922380,0,0,0.00000000,0.00000000,0
5.459834,26932380,0,0,0.00000000,0.00000000,0
5.469834,26942380,0,0,0.00000000,0.00000000,0
5.479834,26952380,0,0,0.00000000,0.00000000,0
5.489834,26962380,0,0,0.00000000,0.00000000,0
5.499834,26972380,0,0,0.00000000,0.00000000,0
5.509834,26982380,0,0,0.00000000,0.00000000,0
5.519834,26992380,0,0,0.00000000,0.00000000,0
5.529834,27002380,0,0,0.00000000,0.00000000,0
5.539834,27012380,0,0,0.00000000,0.00000000,0
5.549834,27022380,0,0,0.00000000,0.00000000,0
5.559834,27032380,0,0,0.00000000,0.00000000,0
5.569834,27042380,0,0,0.00000000,0.00000000,0
5.579834,27052380,0,0,0.00000000,0.00000000,0
5.589834,27062380,0,0,0.00000000,0.00000000,0
5.599834,27072380,0,0,0.00000000,0.00000000,0
5.609834,27082380,0,0,0.00000000,0.00000000,0
5.619834,27092380,0,0,0.00000000,0.00000000,0
5.629834,27102380,0,0,0.00000000,0.00000000,0
5.639834,27112380,0,0,0.00000000,0.00000000,0
5.649834,27122380,0,0,0.00000000,0.00000000,0
5.659834,27132380,0,0,0.00000000,0.00000000,0
5.669834,27142380,0,0,0.00000000,0.00000000,0
5.679834,27152380,0,0,0.00000000,0.00000000,0
5.689834,27162380,0,0,0.00000000,0.00000000,0
5.699834,27172380,0,0,0.00000000,0.00000000,0
5.709834,27182380,0,0,0.00000000,0.00000000,0
5.719834,27192380,0,0,0.00000000,0.00000000,0
5.729834,27202380,0,0,0.00000000,0.00000000,0
5.739834,27212380,0,0,0.00000000,0.00000000,0
5.749834,27222380,0,0,0.00000000,0.00000000,0
5.759834,27232380,0,0,0.00000000,0.00000000,0
5.769834,27242380,0,0,0.00000000,0.00000000,0
5.779834,27252380,0,0,0.00000000,0.00000000,0
5.789834,27262380,0,0,0.00000000,0.00000000,0
5.799834,27272380,0,0,0.00000000,0.00000000,0
5.809834,27282380,0,0,0.00000000,0.00000000,0
5.819834,27292380,0,0,0.00000000,0.00000000,0
5.829834,27302380,0,0,0.00000000,0.00000000,0
5.839834,27312380,0,0,0.00000000,0.00000000,0
5.849834,27322380,0,0,0.00000000,0.00000000,0
5.859834,27332380,0,0,0.00000000,0.00000000,0
5.869834,27342380,0,0,0.00000000,0.00000000,0
5.879834,27352380,0,0,0.00000000,0.00000000,0
5.889834,27362380,0,0,0.00000000,0.00000000,0
5.899834,27372380,0,0,0.00000000,0.00000000,0
5.909834,27382380,0,0,0.00000000,0.00000000,0
5.919834,27392380,0,0,0.00000000,0.00000000,0
5.929834,27402380,0,0,0.00000000,0.00000000,0
5.939834,27412380,0,0,0.00000000,0.00000000,0
